Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,12548.209961,12622.929688,12467.719727,12589.889648,12589.889648,44341500
2021-12-21,12675.589844,12706.860352,12624.139648,12682.530273,12682.530273,35391800
2021-12-22,12681.400391,12713.900391,12601.509766,12713.900391,12713.900391,23737300
2021-12-23,12717.330078,12787.959961,12695.589844,12785.320313,12785.320313,25194700
2021-12-27,12742.730469,12893.389648,12742.129883,12866.900391,12866.900391,17421800
2021-12-28,12888.530273,12977.209961,12885.509766,12970.530273,12970.530273,16142900
2021-12-29,12953.320313,12966.299805,12877.990234,12926.559570,12926.559570,17872600
2021-12-30,12925.690430,12980.139648,12875.660156,12875.660156,12875.660156,20457100
2022-01-03,12934.419922,12997.150391,12905.530273,12939.169922,12939.169922,30070400
2022-01-04,12977.589844,12979.759766,12884.480469,12900.969727,12900.969727,38722000
2022-01-05,12868.000000,12906.370117,12825.900391,12906.370117,12906.370117,33319300
2022-01-06,12754.509766,12816.120117,12728.440430,12792.280273,12792.280273,40330300
2022-01-07,12754.410156,12821.440430,12715.490234,12797.940430,12797.940430,42708300
2022-01-10,12802.759766,12811.169922,12560.700195,12597.349609,12597.349609,50021100
2022-01-11,12740.599609,12772.629883,12691.299805,12709.709961,12709.709961,45521100
2022-01-12,12737.889648,12740.610352,12629.379883,12670.469727,12670.469727,38966100
2022-01-13,12626.509766,12662.450195,12589.459961,12620.440430,12620.440430,35179000
2022-01-14,12512.299805,12596.429688,12506.580078,12525.629883,12525.629883,35254800
2022-01-17,12560.919922,12657.570313,12547.009766,12633.209961,12633.209961,33568500
2022-01-18,12556.139648,12562.000000,12484.440430,12529.559570,12529.559570,38853100
2022-01-19,12465.280273,12570.059570,12448.440430,12525.690430,12525.690430,41889400
2022-01-20,12510.030273,12575.389648,12449.190430,12560.700195,12560.700195,33591900
2022-01-21,12433.290039,12467.019531,12304.019531,12355.540039,12355.540039,56612000
2022-01-24,12292.629883,12304.209961,11878.269531,11881.299805,11881.299805,78440500
2022-01-25,11914.330078,11996.169922,11867.780273,11945.690430,11945.690430,59880000
2022-01-26,12053.179688,12161.209961,12042.450195,12098.259766,12098.259766,46058100
2022-01-27,11924.660156,12205.250000,11917.709961,12176.900391,12176.900391,47700000
2022-01-28,12154.759766,12166.870117,11958.690430,12104.440430,12104.440430,44822800
2022-01-31,12201.889648,12291.900391,12175.780273,12226.700195,12226.700195,46861100
2022-02-01,12338.540039,12408.799805,12304.830078,12359.799805,12359.799805,57512100
2022-02-02,12337.519531,12414.419922,12324.919922,12360.370117,12360.370117,56340600
2022-02-03,12269.919922,12349.309570,12205.049805,12234.150391,12234.150391,49183800
2022-02-04,12289.889648,12305.790039,12121.620117,12140.250000,12140.250000,41373300
2022-02-07,12193.379883,12214.339844,12110.400391,12193.809570,12193.809570,38826300
2022-02-08,12218.410156,12256.559570,12131.519531,12155.660156,12155.660156,41798400
2022-02-09,12260.349609,12422.950195,12259.839844,12367.820313,12367.820313,46249900
2022-02-10,12377.519531,12391.410156,12279.599609,12313.160156,12313.160156,81135300
2022-02-11,12220.870117,12291.650391,12186.250000,12231.969727,12231.969727,47523000
2022-02-14,12050.209961,12088.219727,11924.549805,12026.370117,12026.370117,56321900
2022-02-15,12016.070313,12210.599609,12016.070313,12181.860352,12181.860352,44583400
2022-02-16,12212.679688,12268.669922,12166.099609,12191.570313,12191.570313,34605200
2022-02-17,12184.839844,12197.860352,12032.730469,12075.269531,12075.269531,41357900
2022-02-18,12100.169922,12157.620117,11981.059570,12010.089844,12010.089844,45659000
2022-02-21,12055.719727,12095.219727,11852.990234,11891.879883,11891.879883,46645300
2022-02-22,11695.179688,11979.459961,11687.559570,11959.389648,11959.389648,53590300
2022-02-23,11988.799805,12125.160156,11941.889648,11941.889648,11941.889648,38248400
2022-02-24,11641.660156,11736.230469,11480.759766,11636.759766,11636.759766,87801500
2022-02-25,11672.019531,11995.959961,11665.290039,11987.309570,11987.309570,72140000
2022-02-28,11857.860352,11989.950195,11842.759766,11986.780273,11986.780273,75288800
2022-03-01,11987.440430,12021.719727,11789.750000,11862.280273,11862.280273,72009200
2022-03-02,11784.860352,11906.750000,11668.959961,11871.589844,11871.589844,76002100
2022-03-03,11838.929688,11878.129883,11658.830078,11675.700195,11675.700195,57692100
2022-03-04,11592.759766,11609.530273,11291.839844,11300.129883,11300.129883,90559500
2022-03-07,11154.330078,11299.929688,10871.240234,11204.669922,11204.669922,97185400
2022-03-08,11116.959961,11370.879883,10958.530273,11057.059570,11057.059570,96813300
2022-03-09,11175.889648,11493.360352,11164.629883,11493.360352,11493.360352,90776000
2022-03-10,11517.179688,11546.320313,11388.730469,11391.099609,11391.099609,63392600
2022-03-11,11444.040039,11674.049805,11381.679688,11495.690430,11495.690430,66683200
2022-03-14,11514.309570,11697.419922,11494.990234,11678.940430,11678.940430,54495700
2022-03-15,11599.480469,11702.599609,11510.490234,11682.219727,11682.219727,52958700
2022-03-16,11832.570313,11980.320313,11821.969727,11900.959961,11900.959961,65912900
2022-03-17,11926.610352,12061.870117,11889.280273,12061.870117,12061.870117,57508900
2022-03-18,12075.839844,12184.990234,11997.599609,12184.990234,12184.990234,116916000
2022-03-21,12164.440430,12202.290039,12110.589844,12171.280273,12171.280273,40956500
2022-03-22,12161.110352,12232.169922,12101.349609,12202.620117,12202.620117,39177100
2022-03-23,12212.599609,12243.599609,12096.450195,12099.500000,12099.500000,34592600
2022-03-24,12108.849609,12147.959961,12069.099609,12131.450195,12131.450195,40176600
2022-03-25,12136.219727,12169.139648,12072.059570,12121.669922,12121.669922,29417400
2022-03-28,12159.070313,12264.929688,12151.240234,12155.950195,12155.950195,44342800
2022-03-29,12234.110352,12388.790039,12198.040039,12325.580078,12325.580078,55819700
2022-03-30,12268.660156,12327.950195,12225.209961,12243.730469,12243.730469,44515100
2022-03-31,12293.059570,12300.669922,12161.530273,12161.530273,12161.530273,51011200
2022-04-01,12157.169922,12212.620117,12136.049805,12179.080078,12179.080078,34751300
2022-04-04,12263.139648,12340.870117,12211.809570,12340.870117,12340.870117,37401400
