Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,3568.000000,3613.409912,3568.000000,3609.419922,3609.419922,36414200
2017-12-19,3609.179932,3613.570068,3581.949951,3582.219971,3582.219971,27675800
2017-12-20,3580.580078,3585.620117,3545.639893,3552.649902,3552.649902,29665100
2017-12-21,3550.840088,3574.959961,3534.219971,3570.780029,3570.780029,32681200
2017-12-22,3565.989990,3565.989990,3548.469971,3553.389893,3553.389893,25161900
2017-12-27,3553.159912,3568.909912,3541.429932,3550.169922,3550.169922,19890600
2017-12-28,3549.449951,3549.750000,3519.850098,3524.310059,3524.310059,22281700
2017-12-29,3524.120117,3524.239990,3503.199951,3503.959961,3503.959961,26964700
2018-01-03,3492.899902,3519.729980,3488.909912,3509.879883,3509.879883,33320900
2018-01-04,3520.840088,3580.469971,3520.840088,3568.879883,3568.879883,43638600
2018-01-05,3570.510010,3608.699951,3570.510010,3607.629883,3607.629883,35418700
2018-01-08,3610.969971,3624.739990,3608.820068,3616.449951,3616.449951,28252700
2018-01-09,3617.479980,3629.729980,3614.159912,3622.870117,3622.870117,31607400
2018-01-10,3619.879883,3625.350098,3599.139893,3609.830078,3609.830078,53970300
2018-01-11,3613.989990,3617.750000,3588.070068,3595.239990,3595.239990,46094300
2018-01-12,3597.189941,3616.010010,3597.189941,3612.610107,3612.610107,36393700
2018-01-15,3612.729980,3623.439941,3603.469971,3611.810059,3611.810059,26023100
2018-01-16,3613.100098,3639.050049,3611.560059,3622.010010,3622.010010,35313300
2018-01-17,3613.090088,3624.679932,3603.300049,3612.780029,3612.780029,32889500
2018-01-18,3616.750000,3628.129883,3606.199951,3620.909912,3620.909912,35454800
2018-01-19,3622.219971,3653.030029,3619.229980,3649.070068,3649.070068,38630400
2018-01-22,3650.780029,3665.530029,3644.860107,3665.280029,3665.280029,37015500
2018-01-23,3675.439941,3687.219971,3662.860107,3672.290039,3672.290039,36295000
2018-01-24,3671.010010,3674.500000,3643.219971,3643.219971,3643.219971,33374800
2018-01-25,3640.709961,3659.330078,3614.060059,3630.149902,3630.149902,39734400
2018-01-26,3631.290039,3652.479980,3630.429932,3647.409912,3647.409912,30212100
2018-01-29,3648.409912,3651.209961,3636.050049,3643.040039,3643.040039,34430500
2018-01-30,3633.260010,3633.350098,3601.389893,3606.750000,3606.750000,42704700
2018-01-31,3605.699951,3620.939941,3600.360107,3609.290039,3609.290039,40629300
2018-02-01,3616.159912,3636.219971,3567.199951,3577.350098,3577.350098,48185200
2018-02-02,3570.949951,3570.949951,3523.280029,3523.280029,3523.280029,48725900
2018-02-05,3517.239990,3517.239990,3474.850098,3478.770020,3478.770020,47868900
2018-02-06,3415.570068,3440.379883,3362.850098,3394.919922,3394.919922,93391300
2018-02-07,3408.100098,3465.899902,3402.340088,3454.520020,3454.520020,65113100
2018-02-08,3433.189941,3443.750000,3360.540039,3377.300049,3377.300049,61156400
2018-02-09,3372.189941,3379.459961,3306.659912,3325.989990,3325.989990,69087800
2018-02-12,3334.169922,3387.070068,3334.169922,3368.250000,3368.250000,42244300
2018-02-13,3367.689941,3375.229980,3340.929932,3340.929932,3340.929932,37498900
2018-02-14,3350.459961,3381.129883,3314.500000,3369.830078,3369.830078,53478100
2018-02-15,3373.909912,3414.340088,3373.909912,3389.629883,3389.629883,45342800
2018-02-16,3398.610107,3432.070068,3398.610107,3426.800049,3426.800049,47303400
2018-02-19,3432.530029,3436.679932,3404.090088,3407.790039,3407.790039,25091100
2018-02-20,3407.659912,3436.209961,3398.919922,3435.080078,3435.080078,35894900
2018-02-21,3431.679932,3432.969971,3405.350098,3430.159912,3430.159912,33065400
2018-02-22,3418.530029,3440.189941,3393.280029,3431.989990,3431.989990,42800800
2018-02-23,3435.739990,3444.229980,3423.620117,3441.459961,3441.459961,36470600
2018-02-26,3449.159912,3469.979980,3449.159912,3463.179932,3463.179932,30538800
2018-02-27,3468.280029,3476.209961,3448.530029,3458.030029,3458.030029,36957000
2018-02-28,3451.469971,3462.979980,3434.040039,3438.959961,3438.959961,39160500
2018-03-01,3429.959961,3435.280029,3387.020020,3399.159912,3399.159912,40545700
2018-03-02,3386.540039,3386.540039,3316.750000,3324.750000,3324.750000,52208700
2018-03-05,3314.739990,3360.449951,3309.250000,3355.320068,3355.320068,46663500
2018-03-06,3366.560059,3390.810059,3357.860107,3357.860107,3357.860107,38461200
2018-03-07,3354.260010,3384.290039,3337.389893,3377.360107,3377.360107,34036300
2018-03-08,3376.649902,3419.330078,3374.770020,3413.280029,3413.280029,37118800
2018-03-09,3410.949951,3435.040039,3403.060059,3420.540039,3420.540039,32613200
2018-03-12,3434.510010,3444.040039,3417.969971,3429.479980,3429.479980,29193100
2018-03-13,3430.570068,3446.419922,3385.639893,3397.350098,3397.350098,40503400
2018-03-14,3397.479980,3417.000000,3384.199951,3390.979980,3390.979980,36856200
2018-03-15,3394.310059,3419.010010,3391.110107,3414.129883,3414.129883,39660200
2018-03-16,3412.860107,3448.629883,3411.820068,3437.399902,3437.399902,92425200
2018-03-19,3430.600098,3430.600098,3386.860107,3394.790039,3394.790039,34391400
2018-03-20,3398.879883,3415.350098,3383.169922,3412.080078,3412.080078,29787300
2018-03-21,3413.669922,3418.429932,3387.290039,3401.040039,3401.040039,35368700
2018-03-22,3393.610107,3394.379883,3320.090088,3348.189941,3348.189941,51223100
2018-03-23,3339.699951,3339.699951,3279.459961,3298.070068,3298.070068,53737900
2018-03-26,3301.500000,3320.860107,3261.860107,3278.719971,3278.719971,39603000
2018-03-27,3286.699951,3336.800049,3286.699951,3316.949951,3316.949951,36377200
2018-03-28,3306.340088,3331.250000,3267.959961,3331.250000,3331.250000,44944900
2018-03-29,3335.689941,3379.379883,3333.250000,3361.500000,3361.500000,38215200
2018-04-03,3349.020020,3359.120117,3324.449951,3346.929932,3346.929932,32815100
2018-04-04,3345.760010,3350.969971,3300.500000,3340.350098,3340.350098,37763400
2018-04-05,3353.709961,3433.810059,3353.709961,3429.949951,3429.949951,41230700
2018-04-06,3419.939941,3421.729980,3399.969971,3408.100098,3408.100098,30666700
2018-04-09,3413.889893,3433.679932,3403.199951,3414.850098,3414.850098,26686400
2018-04-10,3425.820068,3445.340088,3425.820068,3438.780029,3438.780029,31290500
2018-04-11,3435.639893,3435.639893,3411.629883,3419.709961,3419.709961,30746800
2018-04-12,3419.600098,3447.520020,3413.679932,3443.969971,3443.969971,30055500
2018-04-13,3445.030029,3466.989990,3438.929932,3448.000000,3448.000000,34046000
2018-04-16,3450.389893,3455.030029,3435.580078,3441.040039,3441.040039,23820900
2018-04-17,3444.389893,3486.530029,3444.389893,3477.909912,3477.909912,36527900
2018-04-18,3476.590088,3494.820068,3476.590088,3490.889893,3490.889893,33210400
2018-04-19,3492.909912,3495.389893,3478.629883,3486.600098,3486.600098,28539500
2018-04-20,3484.560059,3505.439941,3479.239990,3494.199951,3494.199951,40286100
2018-04-23,3494.070068,3514.649902,3482.270020,3513.060059,3513.060059,30662800
2018-04-24,3509.399902,3523.810059,3493.879883,3510.879883,3510.879883,42693800
2018-04-25,3500.600098,3500.600098,3464.350098,3485.830078,3485.830078,40307100
2018-04-26,3485.969971,3507.830078,3477.229980,3506.030029,3506.030029,37767800
2018-04-27,3510.280029,3522.590088,3503.590088,3518.780029,3518.780029,0
2018-04-30,3516.709961,3538.169922,3512.699951,3536.520020,3536.520020,35494300
2018-05-02,3532.870117,3557.870117,3531.840088,3553.790039,3553.790039,40147300
2018-05-03,3548.090088,3549.139893,3523.000000,3529.120117,3529.120117,33576300
2018-05-04,3531.399902,3550.590088,3524.479980,3550.590088,3550.590088,36786300
2018-05-07,3545.469971,3566.060059,3540.139893,3564.189941,3564.189941,24175300
2018-05-08,3562.510010,3564.729980,3541.939941,3557.879883,3557.879883,45606100
2018-05-09,3559.919922,3570.629883,3556.959961,3569.739990,3569.739990,40470400
2018-05-11,3565.149902,3569.719971,3556.219971,3565.520020,3565.520020,29161400
2018-05-14,3564.899902,3568.530029,3553.669922,3565.739990,3565.739990,28251100
2018-05-15,3562.459961,3570.330078,3552.229980,3564.290039,3564.290039,38018100
2018-05-16,3562.540039,3567.600098,3550.899902,3562.850098,3562.850098,52476400
2018-05-17,3562.239990,3592.179932,3562.239990,3592.179932,3592.179932,42534600
2018-05-18,3582.560059,3596.199951,3566.530029,3573.760010,3573.760010,69589500
2018-05-22,3575.219971,3595.100098,3572.379883,3587.250000,3587.250000,45140200
2018-05-23,3580.669922,3580.669922,3528.120117,3541.820068,3541.820068,45535700
2018-05-24,3543.090088,3560.560059,3507.389893,3521.760010,3521.760010,43707900
2018-05-25,3526.429932,3551.820068,3493.610107,3515.360107,3515.360107,63560700
2018-05-28,3511.290039,3540.030029,3473.350098,3482.639893,3482.639893,47168000
2018-05-29,3467.090088,3467.090088,3398.320068,3428.139893,3428.139893,89633500
2018-05-30,3420.790039,3446.280029,3408.560059,3441.189941,3441.189941,70700300
2018-05-31,3445.070068,3455.149902,3391.010010,3406.649902,3406.649902,81586200
2018-06-01,3420.840088,3468.139893,3420.840088,3453.540039,3453.540039,61042200
2018-06-04,3465.250000,3485.330078,3463.330078,3469.570068,3469.570068,42967500
2018-06-05,3467.260010,3497.320068,3456.790039,3456.790039,3456.790039,48256500
2018-06-06,3457.449951,3470.510010,3434.350098,3460.820068,3460.820068,52092300
2018-06-07,3468.520020,3489.959961,3449.689941,3459.770020,3459.770020,40522300
2018-06-08,3452.350098,3454.120117,3422.030029,3447.300049,3447.300049,42805700
2018-06-11,3451.500000,3483.699951,3451.500000,3480.219971,3480.219971,53029200
2018-06-12,3490.760010,3497.030029,3472.639893,3475.580078,3475.580078,39420900
2018-06-13,3475.290039,3488.129883,3464.260010,3479.560059,3479.560059,41411100
2018-06-14,3466.429932,3534.310059,3457.120117,3527.110107,3527.110107,53000600
